city	city_name	city_state	polX	polY	eff
GRZ	Graz	AUT	316,0449	348,8145	11
GUA	Guatemala City	GTM	156,5737	426,2871	11
KAN2	Kano	NGA	316,2114	283,3525	11
LBA	Leeds	GBR	293,1973	358,3491	11
LEJ	Leipzig	DEU	310,1602	355,1753	11
MES	Medan	IDN	452,3198	448,2031	11
MLA	Valletta	MLT	319,9473	328,668	11
THI	Thimphu	BTN	409,9434	424,2764	11
ANR	Antwerpen	BEL	300,4785	353,7969	10
BIO	Bilbao	ESP	291,1484	338,8584	10
COR1	Cordoba	ARG	94,6958	328,0918	10
FRI	Freiburg	DEU	305,5674	348,3926	10
KMS	Kumasi	GHA	290,6714	272,1323	10
KOS	Kosice	SVK	322,5562	354,1675	10
LVI	Lviv	UKR	325,1206	357,4575	10
MPL	Montpellier	FRA	300,2852	339,3203	10
NUE	Nuremberg	DEU	309,374	351,3945	10
OKI	Okinawa	JPN	387,7959	496,6714	10
POR1	Port-Harcourt	NGA	314,0752	269,7656	10
SAL2	Salzbourg	AUT	312,5361	349,311	10
SKP	Skopje	MKD	327,3047	342,7896	10
TNG	Tangier	MAR	285,3877	325,1748	10
VDZ	Vaduz	LIE	308,0522	347,1826	10
AIX	Aachen	DEU	302,6548	353,1777	9
ALP	Alep	SYR	354,7627	346,1494	9
ANN2	Annaba	DZA	308,1816	328,2134	9
BJM	Bujumbura	BDI	378,9868	275,7002	9
HAI	Haifa	ISR	355,3862	338,8496	9
HRK	Kharkov	UKR	338,521	365,5542	9
INN	Innsbruck	AUT	310,3833	347,6636	9
KOB	Kobe	JPN	366,6909	497,1816	9
LGG	Liege	BEL	302,0386	352,8257	9
MAI	Maiduguri	NGA	327,6733	285,2695	9
PIT	Pittsburgh	USA	205,2964	409,1826	9
PRI	Pristina	SRB	326	344,2427	9
PTY	Panama City	PAN	148,8413	397,8989	9
SEB	Sebastopol	UKR	341,1689	355,3545	9
SPK	Sapporo	JPN	349,1338	492,353	9
SPU	Split	HRV	319,2217	342,9268	9
VER	Verone	ITA	310,6401	344,4756	9
VOL	Volgograd	RUS	348,2803	370,7905	9
CHA2	Charjah	ARE	392,7915	357,5649	8
IZM	Izmir	TUR	338,3765	340,6348	8
KAR	Karabuk	TUR	343,418	349,3574	8
NIC	Nicosia	CYP	350,4824	340,7725	8
ORN	Oran	DZA	293,8896	325,1318	8
PTN	Porto-Novo	BEN	302,0415	271,8516	8
TAR	Tirgu Mures	ROU	328,2617	352,2397	8
TGU	Tegucigalpa	HND	155,7417	418,2046	8
TIM	Timisoara	ROU	324,5029	349,084	8
AGA	Agadir	MAR	277,0713	316,7021	7
AGT	Ciudad del Este	PRY	122,2461	302,5718	7
ALV	Andorra la Vella	AND	297,3213	337,625	7
ANN1	Annecy	FRA	303,667	344,2813	7
BRE	Bremen	DEU	305,0352	357,6914	7
BRI2	Brighton	GBR	294,8281	352,8501	7
DON	Donetsk	UKR	342,3687	363,8491	7
DTM	Dortmund	DEU	304,2153	354,7197	7
HUR	Hurghada	EGY	359,1792	329,1655	7
KAN1	Kansas City	USA	201,6445	432,4761	7
LEH	Le Havre	FRA	295,1387	350,4131	7
LHA	Lhassa	CHN	405,9478	427,2095	7
MIE	Miercurea-Ciuc	ROU	329,9717	352,6875	7
NCL	Newcastle	GBR	293,4634	359,7954	7
ODO	Odorheiu Secuiesc	ROU	329,3711	352,2905	7
OMD	Omdurman	SDN	368,334	309,7891	7
PAD	Padova	ITA	311,8931	344,6748	7
PUN	Pune	IND	421,1367	388,4893	7
SAH	Sanaa	YEM	390,5967	326,7212	7
SAN3	San Carlos de Bariloche	ARG	67,3091	347,9365	7
VIG	Vigo	ESP	281,6836	338,1021	7
ABE	Abeche	TCD	344,7432	294,272	6
ACA	Acapulco	MEX	162,8618	448,1328	6
BAT	Bata	GNQ	322,4341	265,6064	6
BON2	Bongor	TCD	333,8013	283,8569	6
BOR	Bora-Bora	PYF	202,5493	596,9976	6
BRI1	Bristol	GBR	291,79	354,0903	6
BWI	Baltimore	USA	204,2808	403,4209	6
CHA4	Chamonix	FRA	304,7051	344,4468	6
CLO	Cali	COL	140,5542	387,978	6
COM	Como	ITA	307,8447	344,6768	6
CUZ	Cuzco	PER	114,4692	366,2979	6
DEN2	Den Haag	NLD	300,2529	355,3599	6
DLA	Douala	CMR	321,5962	269,5098	6
DLC	Dalian	CHN	374,8765	474,1406	6
ENU	Enugu	NGA	314,9966	272,9482	6
FOR	Fortaleza	BRA	187,8716	290,5303	6
GOA	Genoa	ITA	307,5371	341,71	6
HEI	Heidelberg	DEU	306,2817	351,1025	6
LUN2	Lund	SWE	309,4189	363,4902	6
MAR3	Marua	NZL	317,6211	654,0356	6
NOU	Noumea	NCL	343,2769	625,1289	6
PHO	Phoenix	USA	198,6162	464,0864	6
PIK	Pikine Guediawaye	SEN	253,6909	293,1313	6
POR3	Port-Gentil	GAB	320,4126	260,4971	6
ROU	Rouen	FRA	296,4316	350,3345	6
SAN4	Santa-Barbara	USA	206,2007	475,6465	6
SIE	Siena	ITA	312,041	340,7422	6
SLC	Salt Lake City	USA	211,0264	458,8936	6
YOK	Yokohama	JPN	359,9902	501,4663	6
ADL	Adelaide	AUS	445,605	597,459	5
AUS	Austin	USA	186,1694	439,7979	5
BRE2	Brescia	ITA	309,5254	344,4561	5
